Kang angkot seenaknya banget narik ongkos -_,anger,1
"""F yang 20 - 25 pc dong, need F w bi nihh yg penting saling nyaman ajaaa""",netral,
"""Kenapa sekalipun dia cowo yg cuek, judes dan bodohhh gue ttp sayang ama dia? Haruskah gue moveon dari cowo ini?""",love,4
Gue mancing2 cewek semalem.. Meskipun buat ceesan atau veceesan... Ada aja ternyata yg mau... Tapi dan akhirnya ga jadi.. Ga tega gue..,sad,5
Ada yg pake cream skin id'e ? Sharing pengalamannya dong,netral,
Ada yg pernah jadi pembeli terpilih shopee serba 10ribu ngga?,netral,
ada yg suka nonton tonight show? ada yg tau gak sih jenis sepatu yg suka dipake Vincent itu apa namanya?,netral,
"""jadi gigi gua ini ada yg tajem, kena gusi melenting gitu HAHDJSJDJ GW GATAU NAMANYA APAA INTINYA JADI KAYA ADA DAGINGNYA GITU. ada cara sementara selain ke dokter gaksi""",anger,1
"""Kamu cantik sih, tp km sering pap pap gitu. Jdnya kaya murahan gitu ??????????""",sad,5
gabut batt . fc kuuyy f19,joy class,3
"""Ada f 20-25 jkt?? f w b an dan saling nyaman aja, langsung pc aja""",netral,
Hai cowo aku tantang km chat aku -f jele,netral,
"""Godaan puasa, mama gua udh bikin selai nanas buat nastar. Lahiya baunya :(""",sad,5
"""Kenapa banyak yang mau coba fake relationship ya ? bukankah mencoba untuk true relationship lebih baik ? ya kalau sakit hati, jangan galau kan sudah resiko^^""",sad,5
pgn kek pas smt 1 2 dulu:( tiap pagi sarapannya oatmeal ga nyemil trs nyepeda pp kampus asrama. hasilnya bb w turun trs tiap pulang selalu dibilang 'kurusan ya' BAHAGIA,sad,5
"""Sedih ya, jd anak yg gabisa di harapkan hahaha""",sad,5
"""""""Aku kalo di dunia nyata cuek sama orang teh, ke cewe2 juga. Tapi kenapa kalo di anon gini, aku jadi nakal sama cewe2 ya kecuali ke teteh, ga berani aku mah ntar diomelin"""" -""",fear,2
Sodara w doang emang wkwkwk.. Sebelum tidur make up dulu biar bangunnya cantik,joy class,3
"""When people prefer fake relationship than the real one, and that make relationship harder to get. M23""",sad,5
gue mimpi ketemu penyu tp dia sayang bgt sama gue selalu ngekor kemana2,love,4
Lagi pengen ngomong sunda aja daritadi napa siii,joy class,3
"""https://open.spotify.com/track/37mfTcSlX60JtAvAETytGs?si=CynQVRomQIebDhjQY53DZw semangat skripsi, cepet lulus, cepet kerja, cepet lamar anak orang.""",joy class,3
Motor bebek ganti knalpot racing,netral,
Yg kelahiran 97 ayo temenan wkwkw F,joy class,3
