polarity;text
anger;Kang angkot seenaknya banget narik ongkos -_
netral;"""F yang 20 - 25 pc dong, need F w bi nihh yg penting saling nyaman ajaaa"""
love;"""Kenapa sekalipun dia cowo yg cuek, judes dan bodohhh gue ttp sayang ama dia? Haruskah gue moveon dari cowo ini?"""
sad;Gue mancing2 cewek semalem.. Meskipun buat ceesan atau veceesan... Ada aja ternyata yg mau... Tapi dan akhirnya ga jadi.. Ga tega gue..
netral;Ada yg pake cream skin id'e ? Sharing pengalamannya dong
netral;Ada yg pernah jadi pembeli terpilih shopee serba 10ribu ngga?
netral;ada yg suka nonton tonight show? ada yg tau gak sih jenis sepatu yg suka dipake Vincent itu apa namanya?
anger;"""jadi gigi gua ini ada yg tajem, kena gusi melenting gitu HAHDJSJDJ GW GATAU NAMANYA APAA INTINYA JADI KAYA ADA DAGINGNYA GITU. ada cara sementara selain ke dokter gaksi"""
sad;"""Kamu cantik sih, tp km sering pap pap gitu. Jdnya kaya murahan gitu ??????????"""
joy;gabut batt . fc kuuyy f19
netral;"""Ada f 20-25 jkt?? f w b an dan saling nyaman aja, langsung pc aja"""
netral;Hai cowo aku tantang km chat aku -f jele
sad;"""Godaan puasa, mama gua udh bikin selai nanas buat nastar. Lahiya baunya :("""
sad;"""Kenapa banyak yang mau coba fake relationship ya ? bukankah mencoba untuk true relationship lebih baik ? ya kalau sakit hati, jangan galau kan sudah resiko^^"""
sad;pgn kek pas smt 1 2 dulu:( tiap pagi sarapannya oatmeal ga nyemil trs nyepeda pp kampus asrama. hasilnya bb w turun trs tiap pulang selalu dibilang 'kurusan ya' BAHAGIA
sad;"""Sedih ya, jd anak yg gabisa di harapkan hahaha"""
fear;"""""""Aku kalo di dunia nyata cuek sama orang teh, ke cewe2 juga. Tapi kenapa kalo di anon gini, aku jadi nakal sama cewe2 ya kecuali ke teteh, ga berani aku mah ntar diomelin"""" -"""
joy;Sodara w doang emang wkwkwk.. Sebelum tidur make up dulu biar bangunnya cantik
sad;"""When people prefer fake relationship than the real one, and that make relationship harder to get. M23"""
love;gue mimpi ketemu penyu tp dia sayang bgt sama gue selalu ngekor kemana2
joy;Lagi pengen ngomong sunda aja daritadi napa siii
joy;"""https://open.spotify.com/track/37mfTcSlX60JtAvAETytGs?si=CynQVRomQIebDhjQY53DZw semangat skripsi, cepet lulus, cepet kerja, cepet lamar anak orang."""
netral;Motor bebek ganti knalpot racing
joy;Yg kelahiran 97 ayo temenan wkwkw F
anger;"""Persetan dengan semua kalian yg bilang """"ga nemu nih cowo/cewe cakep ditell"""". Guys.. you are an absolute disgrace. Silly thing."""
fear;Tolonggggggggggggg-budi doremi
joy;Gua meet sama anon yg zuper zekaleh
joy;Fc semenit doang. Lets go!
netral;apa cuman gue yang ga liat cewe dari ** nya?? -m18
netral;ig error? ????????????????????????
sad;"""Gatau mau ngapain, bosen ngapa2in. Ga ada kegiatan"""
netral;Wa sama ig lagi error gak sih?
joy;Pengen chat sama f hijab deh suka M
joy;yuk chat tentang apa aja atau keseharian btw gua f21
joy;yang kelahiran 45 ayo temenan
sad;"""Tiap mau keluar rumah nunggu tetangga pada masuk rumah dulu baru keluar. Astaga, dipikir² kek maling aja. Padahal males basa basi ??"""
netral;ada yang pernah nonton Ini Talkshow secara langsung ga
sad;yg punya husky sharing dong:(
joy;"""Gapernah meet sama anon di sini, soalnya jauh2 semua. Kalo ada yg se kota pc aja ya gw di Cirebon siapa tau kita jodoh hehe M23"""
sad;"""chat routine aku sm doi: ?? pagi *jam 11an keatas br bls* ??aku br bgn ??udhtau ??aku mau ke ??ok *hilang sampe malem* ??aku udh dirumah, mau pubg *bls bsknya* ??ak ud tdr """
joy;"""berawal di sini, app anon. gue iseng chat dia di status puisinya. gue suka, dia baik, asik, smart! Wise. janjian ketemuan, mundur krn liat dia ganteng. *minder* ??BS??"""
netral;Rekomendasi toko online jam tangan wanita ori dong di ig/Shopee/tokped
netral;ig error? ????????????????????????
anger;"""""""Safety can be fun"""" Gw: MATAKLOOOO ??????"""
fear;Risih ga liat cewe kerudungan tangan bajunya 3/4 trus pale manset? Gue takut risih :(
netral;grup kelas kalian tipe yg rame apa sepi?
joy;"""Aku ada saat ini semuanya karna kasih Mu, aku hidup hari ini semua berkat kemurahan Mu. Terimakasih Yesus, engkau sangat baik, teramat baik bagi ku. Happy sunday!??"""
joy;Udah lama gk nemu anon yg bisa chtan lama sampe berminggu minggu:)f
sad;Kangen moment2 nontonin kamu futsal:(
joy;Baru buka tell lg sekian lama ini (padahal abis kena ban) wkwkwk m22
netral;Lara bercerita. Lara itu
netral;SERUM ERTOS YANG KINCLONG BAGUS GA SIH?
netral;ada yg pernah pake serum nacific gk? gmna? gmana?
joy;"""""""Cuma laki-laki pengecut yang gamau dan ga berani sama perempuan mandiri."""" Makasih untuk siapapun kamu yang bilang ini, it warms me up?"""
sad;Jatos yuk:( wkwkwk kurang hiburan banget
joy;the best revenge is no revenge
sad;"""Gua chat sama anon cewe cuma bertahan seminggu doang ,sisanya ga gua chat lagi abis itu gua blokir"""
joy;Chat yuk yang berfaedah tapi -f here
netral;"""Kukumu panjang kata ibu rindu, itu karena memang tak pernah di pangkas"""
confused;Dilema potong rambut apa jangan
confused;plis lah ini sebenernya hamster yang baru lahir harus dipisah dari bokapnya apa engga? gua liat di google ada yg gaboleh dipisah ada yang harus dipisah hua
joy;"""Bibirnya tipis merah, kulitnya putih, dia tinggi, pake hoodie corak teddy bear (gemes yawlah) ??BS??. PAS LIHAT, OKE GUE GROGI SEKETIKA DAN HILANG. LIHAT DR JAUH AJA"""
sad;"""Kenapa jd mimpi ngelakuin s ex sm jk sm V, ??"""
joy;"""Hehe maafin tapi kalo chat lo udah tiap jam nanya """"lagi apa?"""" Gue ec."""
joy;"""Kenal sudah 1,5 tahun. baru nyatakan perasaan 2 bulan terakhir. Sudah mantap. Saya putuskan 2-3 years challenge to marry her ^.^"""
netral;Ieu mah pasti isi na nu baheula pemain secret whisper saya terus nu lambangna srigala teh naon sih
netral;Ada yg pernah minum obat pelangsing bentuk tablet/teh? Ada efek setelah lo minum bakal apa gitu ga?
anger;Anjrit tuket ke senggol pra haid itu zxccbnmmllll sakit banget
netral;Eh putra siregar store itu produknya ori gak sih?
sad;"""""""mas jemput di sekolah"""" """"maas jemput"""" """"jemput di ss"""" """"nanti jemput ya"""" """"mas bisa jemput ga?"""" baru sadar chat sama adek isinya minta jemput doang ??"""
sad;Buka ig-twitter-tell. Gitu aja terus
netral;Kentang tu mksdnya apa sih? Gemuk ky kentang?
netral;Kalian beli apa ajanih di sociolla?
confused;alasen kalian ga masang dp di sosmed apasi
netral;Gue cuci muka pake sabun dettol batangan. Aman ga tuh?
joy;"""can i have sugardaddy to fund my master's degree abroad, pretty please??"""
anger;KENAPA SIH KENTANG IDENTIK JELEK?!?! padahal dia enak:(
sad;"""Semakin merasa tak berguna, mau itu di kuliahan maupun digereja:)"""
joy;Gua pengen tlpan sama cewe. Gua cowo 22 tahun
netral;Ada Fsma berhijab? Kalo ada pc dongh
sad;Semakin lama makin pendek chatnya dan kemudian dia pun hilang
sad;"""Gw anak tunggal, dr kecil pengen bgt punya abang?? gimana dong caranya wkwkw"""
sad;"""*mo bukber sama anon* nyokap: kamu mau bukber sama siapa? gua: temen *suara kecil, buang muka* nyokap: dimana? gua: *pura2 g denger* saking mlz diintrogasi??"""
sad;"""Selama gua makan gak dari elu, omongan lu gua anggap angin lalu"""
netral;"""tp kata dosen gua sih, kalian klo makan kentang ibaratnya kek makan pestisida soalnya di dieng budidaya kentang tuh sulit, banyak hama dan penyakitnya. """
joy;"""mau ngomong sama kalian dong, sesama cewe juga ayo!"""
fear;Pengen ip xr tp mau s10 jg huhu bingung :( takut nyesel beli..
sad;"""Aku subuh baca qunut, kamu subuh ga baca qunut. """
netral;Fc move line? M21 Bekasi
joy;"""Sampe sekarang masih chat di sini, ga move. Udah lama banget chattan sm dia tp tetep seru, tetep asik. Dia juga sopan walaupun suka nyebelin. Nyesel tapi takut ??BS??"""
joy;"""I want to talk to somebody~ talking abt universe, odd things, hahahahaahahaha"""
netral;F bi artinya apaaaannn?
sad;Pengen nonton tapi tidak punya uang
netral;Kalian pernah nemu kasus yang pakek softlens terus masuk ke mata gitu ga? itu bener ga sih?
