polarity,processed
anger,kang angkot seenaknya banget narik ongko
netral,f yang pc dong need f w bi nihh yg pent sale nyaman ajaaa
love,kenapa sekalipun dia cowo yg cuek jude dan bodohhh gue ttp sayang ama dia haruskah gue moveon dari cowo ini
sad,gue cewek semalem meskipun buat ceesan atau veceesan ada aja ternyata yg mau tapi dan akhirnya ga jadi ga tega gue
netral,ada yg pake cream skin id e share pengalamannya dong
netral,ada yg pernah jadi pemb terpilih shope serba ngga
netral,ada yg suka nonton tonight show ada yg tau gak sih jeni sepatu yg suka dipak vincent itu apa namanya
anger,jadi gigi gua ini ada yg tajem kena gusi melent gitu hahdjsjdj gw gatau namanya apaa intinya jadi kaya ada dagingnya gitu ada cara sementara selain ke dokter gaksi
sad,kamu cantik sih tp km sere pap pap gitu jdnya kaya murahan gitu
joy,gabut batt fc kuuyi
netral,ada f jkt f w b an dan sale nyaman aja langsung pc aja
netral,hai cowo aku tantang km chat aku jele
sad,godaan puasa mama gua udh bikin selai nana buat nastar lahiya baunya
sad,kenapa banyak yang mau coba fake relationship ya bukankah mencoba untuk true relationship lebih baik ya kalau sakit hati jangan galau kan sudah
sad,pgn kek pa smt dulu tiap pagi sarapannya oatmeal ga nyemil tr nyepeda pp kampu asrama hasilnya bb w turun tr tiap pulang selalu dibilang ya bahagia
sad,sedih ya jd anak yg gabisa di harapkan hahaha
fear,aku kalo di dunia nyata cuek sama orang teh ke juga tapi kenapa kalo di anon gini aku jadi nakal sama ya kecuali ke teteh ga berani aku mah ntar diomelin
joy,sodara w doang emang wkwkwk sebelum tidur make up dulu biar bangunnya cantik
sad,when peopl prefer fake relationship than the real one and that make relationship harder to get
love,gue mimpi ketemu penyu tp dia sayang bgt sama gue selalu ngekor
joy,lagi pengen ngomong sunda aja daritadi napa siii
joy,http semangat skripsi cepet lulu cepet kerja cepet lamar anak orang
netral,motor bebek ganti knalpot race
joy,yg kelahiran ayo temenan wkwkw f
anger,persetan dengan semua kalian yg bilang ga nemu nih cakep ditel guy you are an absolut disgrac silli thing
fear,doremi
joy,gua meet sama anon yg zuper zekaleh
joy,fc semenit doang let go
netral,apa cuman gue yang ga liat cew dari nya
netral,ig error
